
DisplayName                                                                                  DisplayVersion      Publis
                                                                                                                 her   
-----------                                                                                  --------------      ------
.NET for Android Templates (x64)                                                             35.0.101.0          Mic...
.NET for Android Templates (x64)                                                             35.0.78.0           Mic...
.NET for Android Templates (x64)                                                             36.1.43.0           Mic...
.NET MAUI SDK (x64)                                                                          8.0.100.0           Mic...
.NET MAUI SDK (x64)                                                                          9.0.120.0           Mic...
.NET MAUI SDK (x64)                                                                          9.0.111.0           Mic...
.NET MAUI SDK (x64)                                                                          9.0.82.0            Mic...
.NET MAUI SDK (x64)                                                                          10.0.20.0           Mic...
.NET MAUI SDK (x64)                                                                          9.0.82.0            Mic...
.NET MAUI Templates (x64)                                                                    8.0.100.0           Mic...
.NET MAUI Templates (x64)                                                                    9.0.82.0            Mic...
.NET MAUI Templates (x64)                                                                    9.0.111.0           Mic...
.NET MAUI Templates (x64)                                                                    10.0.20.0           Mic...
.NET MAUI Templates (x64)                                                                    9.0.82.0            Mic...
.NET MAUI Templates (x64)                                                                    9.0.120.0           Mic...
64 Bit HP CIO Components Installer                                                           13.2.1              Hew...
Adobe Acrobat (64-bit)                                                                       26.001.21677        Adobe 
Adobe Illustrator 2025                                                                       29.3.1              Ado...
Adobe Lightroom Classic                                                                      14.2                Ado...
Adobe Photoshop 2025                                                                         26.4.1.194          Ado...
Adobe Refresh Manager                                                                        1.8.0               Ado...
Advanced IP Scanner 2.5.1                                                                    2.5.4594.1          Fam...
AIDA64 Extreme v7.70                                                                         7.70                Fin...
AIDA64 Extreme v8.30 (64-bit)                                                                8.30                Fin...
AMD Chipset Software                                                                         7.06.02.123         Adv...
AMD DVR64                                                                                    1.0.2               Adv...
AMD GPIO2 Driver                                                                             2.2.0.134           Adv...
AMD PSP Driver                                                                               5.39.0.0            Adv...
AMD Ryzen Balanced Driver                                                                    8.0.0.13            Adv...
AMD Ryzen Master                                                                             2.14.2.3341         Adv...
AMD Ryzen Master                                                                             2.14.2.3341         Adv...
AMD SBxxx SMBus Driver                                                                       5.12.0.44           Adv...
AMD Settings                                                                                 2025.1211.1600.1996 Adv...
AMD Software                                                                                 26.1.1              Adv...
AMD User Experience Program Installer                                                        2420.0.0.802        Adv...
AMD WVR64                                                                                    1.0.2               Adv...
AMD_Chipset_Drivers                                                                          7.06.02.123         Adv...
Android Studio                                                                               2025.2              Goo...
AnyDesk                                                                                      ad 9.7.6            Any...
AOMEI Partition Assistant 10.11.0                                                            10.11.0             AOM...
Application Verifier x64 External Package (DesktopEditions)                                  10.1.22621.5040     Mic...
Application Verifier x64 External Package (DesktopEditions)                                  10.1.26100.8249     Mic...
Application Verifier x64 External Package (OnecoreUAP)                                       10.1.26100.8249     Mic...
Application Verifier x64 External Package (OnecoreUAP)                                       10.1.22621.5040     Mic...
Audacity 3.7.8                                                                               3.7.8               Aud...
Autofirma                                                                                    1.9                 Gob...
AutomaticUpdate                                                                              30.0.3.0            PC ...
Bandizip                                                                                     7.44                Ban...
BCUninstaller 6.2.0.0                                                                        6.2.0.0             Mar...
Branding64                                                                                   1.00.0009           Adv...
Chrome Remote Desktop Host                                                                   149.0.7827.18       Goo...
ClickOnce Bootstrapper Package for Microsoft .NET Framework                                  4.8.09256           Mic...
Cloudflare One Client                                                                        26.4.1390.0         Clo...
Configurador FNMT                                                                            5.1.2               FNM...
Copilot                                                                                      149.0.4022.66       Mic...
CPUID CPU-Z 2.20                                                                             2.20                CPU...
CPUID HWMonitor 1.64                                                                         1.64                CPU...
CrystalDiskMark 9.0.3                                                                        9.0.3               Cry...
CSI Calendario Laboral (Instalación servidor)                                                25.02A                    
Cursor                                                                                       3.7.42              Any...
DataGrip 2026.1.3                                                                            261.24374.56        Jet...
DB Browser for SQLite                                                                        3.13.1              DB ...
Desinstalar impresora EPSON WF-4830 Series                                                                       Sei...
DiagnosticsHub_CollectionService                                                             18.5.37003          Mic...
Docker Desktop                                                                               4.78.0              Doc...
Entity Framework 6.5.0 Tools  for Visual Studio 2022                                         6.5.0.0             Mic...
Entity Framework 6.5.0 Tools  for Visual Studio 2022                                         6.5.0.0             Mic...
Entity Framework 6.5.0 Tools  for Visual Studio 2022                                         6.5.0.0             Mic...
Epson Scan 2                                                                                                     Sei...
Explorador de SQL Server 2022                                                                16.0.1000.6         Mic...
Far Manager 3 (x64)                                                                          3.0.6699            Eug...
Fedora Media Writer                                                                          5.3.1               Fed...
FileZilla 3.69.3                                                                             3.69.3              Tim...
FtpUse                                                                                                           Fer...
GDR 1135 para SQL Server 2022 (KB5046861) (64-bit)                                           16.0.1135.2         Mic...
GDR 1140 para SQL Server 2022 (KB5058712) (64-bit)                                           16.0.1140.6         Mic...
GDR 1145 para SQL Server 2022 (KB5063756) (64-bit)                                           16.0.1145.1         Mic...
GDR 1150 para SQL Server 2022 (KB5065221) (64-bit)                                           16.0.1150.1         Mic...
GDR 1160 para SQL Server 2022 (KB5068407) (64-bit)                                           16.0.1160.1         Mic...
GDR 1165 para SQL Server 2022 (KB5073031) (64-bit)                                           16.0.1165.1         Mic...
GDR 1170 para SQL Server 2022 (KB5077465) (64-bit)                                           16.0.1170.5         Mic...
GDR 1175 para SQL Server 2022 (KB5084815) (64-bit)                                           16.0.1175.1         Mic...
GDR 1180 para SQL Server 2022 (KB5091158) (64-bit)                                           16.0.1180.1         Mic...
Git                                                                                          2.54.0              The...
Glary Utilities 6.43                                                                         6.43.0.47           Gla...
GnuWin32: Wget-1.11.4-1                                                                      1.11.4-1            Gnu...
Google Chrome                                                                                149.0.7827.156      Goo...
GPL Ghostscript                                                                              9.26                Art...
HandBrake 1.11.2                                                                             1.11.2                    
HP LaserJet 400 M401                                                                         8.0.13067.19        Hew...
HP Unified IO                                                                                2.0.0.434           HP    
HP Unified IO                                                                                2.0.0.434           HP    
HTTPie 2025.2.0                                                                              2025.2.0            HTTPie
icecap_collection_neutral                                                                    18.7.11811          Mic...
icecap_collection_neutral                                                                    17.14.36015         Mic...
icecap_collection_x64                                                                        18.7.11811          Mic...
icecap_collection_x64                                                                        17.14.36015         Mic...
icecap_collectionresources                                                                   17.14.36015         Mic...
icecap_collectionresourcesx64                                                                17.14.36015         Mic...
IIS 10.0 Express                                                                             10.0.11304          Mic...
IIS Express Application Compatibility Database for x64                                                                 
IIS Express Application Compatibility Database for x86                                                                 
IMG to ISO                                                                                                       img...
Integration Services                                                                         16.0.5491.7         Mic...
IntelliTraceProfilerProxy                                                                    15.0.21225.01       Mic...
IntelliTraceProfilerProxy                                                                    15.0.21225.01       Mic...
Iperius Backup versión 8.3.4.0                                                               8.3.4.0             Ent...
Java 8 Update 491 (64-bit)                                                                   8.0.4910.10         Ora...
Java Auto Updater                                                                            2.8.491.10          Ora...
Java(TM) SE Development Kit 23.0.2 (64-bit)                                                  23.0.2.0            Ora...
Java(TM) SE Development Kit 25.0.2 (64-bit)                                                  25.0.2.0            Ora...
JetBrains ETW Host Service (x64)                                                             16.45.0             Jet...
JetBrains Rider 2026.1.2                                                                     261.24374.190       Jet...
Kaspersky Small Office Security                                                              21.25.7.504         Kas...
Kaspersky Small Office Security                                                              21.25.7.504         Kas...
Kits Configuration Installer                                                                 10.1.26100.8249     Mic...
LST PCSOFT                                                                                                       PC ...
Microsoft .NET 10.0 Templates 10.0.301 x64                                                   40.11.22621         Mic...
Microsoft .NET 5.0 Templates 8.0.200 (x64)                                                   20.7.64557          Mic...
Microsoft .NET 6.0 Templates 6.0.428 (x64)                                                   24.9.28115          Mic...
Microsoft .NET 7.0 Templates 7.0.410 (x64)                                                   28.13.2919          Mic...
Microsoft .NET 8.0 Templates 8.0.422 (x64)                                                   32.15.6107          Mic...
Microsoft .NET 9.0 Templates 9.0.315 (x64)                                                   36.15.22400         Mic...
Microsoft .NET AppHost Pack - 10.0.9 (x64)                                                   80.36.53633         Mic...
Microsoft .NET AppHost Pack - 10.0.9 (x64_arm64)                                             80.36.53633         Mic...
Microsoft .NET AppHost Pack - 10.0.9 (x64_x86)                                               80.36.53633         Mic...
Microsoft .NET AppHost Pack - 5.0.17 (x64)                                                   40.68.31213         Mic...
Microsoft .NET AppHost Pack - 5.0.17 (x64_arm)                                               40.68.31213         Mic...
Microsoft .NET AppHost Pack - 5.0.17 (x64_arm64)                                             40.68.31213         Mic...
