
DisplayName                                                                                  DisplayVersion      Publisher      
-----------                                                                                  --------------      ---------      
.NET for Android Templates (x64)                                                             35.0.78.0           Microsoft Co...
.NET for Android Templates (x64)                                                             35.0.101.0          Microsoft Co...
.NET for Android Templates (x64)                                                             36.1.43.0           Microsoft Co...
.NET MAUI SDK (x64)                                                                          9.0.82.0            Microsoft Co...
.NET MAUI SDK (x64)                                                                          9.0.111.0           Microsoft Co...
.NET MAUI SDK (x64)                                                                          8.0.100.0           Microsoft Co...
.NET MAUI SDK (x64)                                                                          9.0.120.0           Microsoft Co...
.NET MAUI SDK (x64)                                                                          9.0.82.0            Microsoft Co...
.NET MAUI SDK (x64)                                                                          10.0.20.0           Microsoft Co...
.NET MAUI Templates (x64)                                                                    8.0.100.0           Microsoft Co...
.NET MAUI Templates (x64)                                                                    9.0.111.0           Microsoft Co...
.NET MAUI Templates (x64)                                                                    10.0.20.0           Microsoft Co...
.NET MAUI Templates (x64)                                                                    9.0.120.0           Microsoft Co...
.NET MAUI Templates (x64)                                                                    9.0.82.0            Microsoft Co...
.NET MAUI Templates (x64)                                                                    9.0.82.0            Microsoft Co...
64 Bit HP CIO Components Installer                                                           13.2.1              Hewlett-Packard
Adobe Acrobat (64-bit)                                                                       26.001.21662        Adobe          
Adobe Illustrator 2025                                                                       29.3.1              Adobe Inc.     
Adobe Lightroom Classic                                                                      14.2                Adobe Inc.     
Adobe Photoshop 2025                                                                         26.4.1.194          Adobe Inc.     
Adobe Refresh Manager                                                                        1.8.0               Adobe System...
Advanced IP Scanner 2.5.1                                                                    2.5.4594.1          Famatech       
AIDA64 Extreme v7.70                                                                         7.70                FinalWire Ltd. 
AIDA64 Extreme v8.30 (64-bit)                                                                8.30                FinalWire Ltd. 
AMD Chipset Software                                                                         7.06.02.123         Advanced Mic...
AMD DVR64                                                                                    1.0.2               Advanced Mic...
AMD GPIO2 Driver                                                                             2.2.0.134           Advanced Mic...
AMD PSP Driver                                                                               5.39.0.0            Advanced Mic...
AMD Ryzen Balanced Driver                                                                    8.0.0.13            Advanced Mic...
AMD Ryzen Master                                                                             2.14.2.3341         Advanced Mic...
AMD Ryzen Master                                                                             2.14.2.3341         Advanced Mic...
AMD SBxxx SMBus Driver                                                                       5.12.0.44           Advanced Mic...
AMD Settings                                                                                 2025.1211.1600.1996 Advanced Mic...
AMD Software                                                                                 26.1.1              Advanced Mic...
AMD User Experience Program Installer                                                        2420.0.0.802        Advanced Mic...
AMD WVR64                                                                                    1.0.2               Advanced Mic...
